成员, 贡献排行, 贡献本周, 战功本周, 助攻本周, 捐献本周, 贡献总量, 战功总量, 助攻总量, 捐献总量, 势力值, 所属州, 分组
廉展硕丨戰,200,30699226,72416,32460,0,35952062,72416,32460,14694,19143, 京兆北, 发育消极
金麟丨少典,27,86356338,316418,27801,318045,94740978,316418,27801,318045,31473, 长安, 金麟团
金麟丨老猫,59,96528295,231494,14449,206258,98006965,231494,14449,206258,34900, 长安, 金麟团
廉展碩,4,96048154,624833,18778,204685,104949148,624833,20038,204685,33250, 长安, 金麟团
思源丶火神,134,51434791,160555,18201,415325,56552904,160555,18201,415325,24210, 长安, 思源团
思源丶天明,140,42727152,152869,19599,215214,47170283,152869,19599,215214,19630, 京兆北, 思源团
思源丶清欢,2,100732283,640498,20005,203471,100892736,640498,20005,203471,35090, 长安, 思源团
天神丨曹孟德,5,83384870,594865,18834,220959,96269552,594865,18834,220959,33100, 长安, 天神团
天神丨鱼少,9,77590097,528656,22746,198415,78709928,528656,22746,198415,30400, 长安, 天神团
思源丶靠山王,58,71518725,257452,14758,209348,75001917,257452,14758,209348,27410, 长安, 思源团
金麟丨唐伯虎,84,70174512,205726,24555,204584,73587002,205726,24555,204584,31230, 长安, 金麟团
天神丨幸运星,20,66888574,386454,24675,200861,68878953,386454,24675,200861,30790, 长安, 天神团
思源丶大炮,69,62486631,228234,18860,207901,68835723,228234,18860,207901,26590, 长安, 思源团
小旋风柴進,49,61799217,259883,21812,285566,67814137,259883,21812,285566,26390, 长安, 绝对领域
至臻炒肉面,138,56197473,163454,11887,410375,61890317,163454,11887,410375,21750, 京兆北, 绝对领域
戰魂丨甘志豪,67,55057632,235015,19643,230666,61528412,235015,19643,230666,28310, 长安, 双魂团
無雙丿夢魘,233,52244914,74914,14016,202634,55365919,74914,14016,202634,27948, 长安, 双魂团
無雙丿随心,115,44446835,194118,27326,204312,51991074,194118,27326,204312,21893, 京兆北, 双魂团
天神丨无名,3,97100230,599674,18876,203804,106917562,599674,20139,203804,34640, 长安, 天神团
金麟丨头牌,17,96985880,380524,20251,204822,106029578,380524,20251,204822,33950, 长安, 金麟团
天神丨九寶,8,88118489,602824,22211,309088,92849832,602824,22211,309088,30910, 长安, 天神团
思源丶盖地虎,31,87521448,319535,16699,204910,90230475,319535,16699,204910,31250, 长安, 思源团
天神丨怒红颜,15,87125785,412570,21984,418999,87395584,412570,21984,418999,31230, 长安, 天神团
天神丨九哥,1,86729931,676603,17728,201324,86800968,676603,17728,201324,32460, 长安, 天神团
思源丶浪子心,19,86080655,415445,9886,205111,92121447,415445,9886,205111,28353, 长安, 思源团
戰魂丨月無痕,16,85932032,424095,27925,200301,91724187,424095,27925,200301,30800, 长安, 双魂团
天神丨富婆,12,82680968,459674,24426,200216,83931143,459674,24426,200216,32880, 长安, 天神团
天神丨金晨舞,14,82212987,438796,23590,321329,86450090,438796,23590,321329,32070, 长安, 天神团
天神丨秋風,6,81150480,595093,22311,202023,89144538,595093,22311,202023,31670, 长安, 天神团
天神丨是毛蛋,7,80904051,594348,16983,202356,87053620,594348,16983,202356,29380, 长安, 天神团
思源丶糯米团,29,79532083,343182,19059,199761,85541218,343182,19059,199761,29530, 长安, 思源团
天神丨有恒,11,78690941,471312,11582,200530,86770021,471312,11582,200530,30490, 长安, 天神团
